UniqueID,Time,Date,Latitude,Longitude,Authentication Failure,No Service Mode,Call End,Dropped Call,Blocked Call,Call Established,Call Re-established,Call Setup,Call Attempt Retry,Call Attempt,Call Initiation,Handover Failure,Handover Intracell,Handover,"Missing GSM Neighbor, GSM Symmetry","Missing WCDMA Intra-frequency Neighbor, based on DN reporting",Distance-to-cell (km): Top #1,RxLevFull (dBm) - .Server,RxLevSub (dBm) - .Server,RxQual Full,Timing Advance,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1,UE Received Power (RSSI - dBm): Top #2
1,58:03.2,2/17/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
2,58:06.5,2/17/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
3,58:09.5,2/17/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
4,58:12.6,2/17/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
5,58:15.6,2/17/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
6,58:18.7,2/17/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
7,58:21.7,2/17/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
8,58:24.7,2/17/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
9,58:27.8,2/17/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
10,58:30.8,2/17/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
11,01:40.9,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
12,01:44.0,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
13,01:47.0,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
14,01:50.0,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
15,01:53.1,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
16,01:56.2,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
17,01:59.2,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
18,02:02.2,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
19,02:05.3,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
20,02:08.3,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
21,02:11.4,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
22,02:14.4,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
23,02:17.4,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
24,02:20.5,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
25,02:23.5,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
26,02:26.5,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
27,02:29.6,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
28,02:32.6,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
29,02:35.7,2/18/2022,7.297113,5.134583,,,,,,,,,,,Call Initiation,,,,,,,,,,,,,,
