Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector)
45:03.0,3/21/2022,7.2844315,5.1824625,2.200000048,3.200000048,3.039999962,77.69999695,7.800000191,0.109999999,4.300000191,0.200000003,0.100000001,2.289999962,5.369999886,5.539999962,91.30999756,2,4.880000114
45:05.0,3/21/2022,7.284394,5.1827825,1.440000057,1.5,1.340000033,83.84999847,6.599999905,0.02,2.299999952,0.699999988,0,1.289999962,1.50999999,4.320000172,112.8099976,1.149999976,1.039999962
45:07.0,3/21/2022,7.2843485,5.1831065,2.569999933,2.970000029,5.269999981,99.98999786,7.599999905,0.029999999,2.700000048,0.200000003,0,2.349999905,2,9.229999542,123.3600006,1.649999976,3.99000001
45:09.0,3/21/2022,7.284296,5.183431,0.389999986,2.25999999,1.620000005,90.41000366,5.5,0.189999998,2.400000095,0.200000003,0.200000003,0.519999981,2.25999999,4.690000057,115.1500015,1.679999948,2.220000029
45:11.0,3/21/2022,7.2842375,5.183754,0.930000007,2.450000048,5.960000038,130.5700073,3.900000095,0.170000002,3.900000095,0.200000003,0.200000003,0.949999988,1.850000024,5.409999847,129,0.899999976,2.079999924
45:13.0,3/21/2022,7.2841705,5.1840785,1.279999971,0.699999988,2.190000057,189.2400055,9.300000191,0.109999999,5,0.600000024,0.100000001,1.190000057,1.639999986,4.239999771,195.5200043,2.210000038,2.559999943
45:15.0,3/21/2022,7.2840995,5.184404,1.429999948,1.679999948,2.930000067,50.50999832,7.900000095,0.02,3.900000095,23.39999962,0,1.299999952,1.799999952,7.139999866,55.43000031,1.659999967,2.049999952
45:17.0,3/21/2022,7.284025,5.18473,1.690000057,1.919999957,2.799999952,58.29000092,7.400000095,0.02,3.599999905,0.200000003,0,1.690000057,1.779999971,6.570000172,115.6900024,2.170000076,2.069999933
45:19.0,3/21/2022,7.28394,5.18505,2.380000114,2.190000057,4.400000095,98.55000305,7.900000095,0.029999999,3.799999952,0.400000006,0,2.329999924,2.200000048,5.989999771,118.8899994,1.980000019,3.720000029
45:21.0,3/21/2022,7.2838625,5.1853625,0.819999993,1.940000057,2.930000067,95.77999878,7,0.25999999,2.299999952,0.300000012,0.300000012,0.75999999,1.620000005,5.820000172,129.2200012,1.549999952,2.549999952
45:23.0,3/21/2022,7.2837725,5.185682,0.779999971,2,1.620000005,134.3600006,5,0.170000002,2,0.300000012,0.200000003,1.049999952,1.970000029,2.599999905,140.0200043,1.00999999,3.150000095
45:25.0,3/21/2022,7.2836735,5.1860065,0.779999971,1.440000057,0.730000019,145.5599976,7.900000095,0.449999988,2.099999905,0.300000012,0.400000006,0.779999971,1.440000057,7.309999943,150.5399933,0.649999976,1.299999952
45:27.0,3/21/2022,7.28356,5.1863365,0.779999971,1.039999962,2.440000057,143.1799927,4.199999809,0.100000001,2.099999905,0.300000012,0.100000001,0.779999971,1.039999962,9.659999847,147.3800049,0.970000029,1.379999995
45:29.0,3/21/2022,7.2834345,5.186674,0.779999971,1.370000005,1.830000043,143.7299957,4,0.49000001,2,0.300000012,0.5,0.779999971,1.370000005,1.320000052,149.2299957,0.670000017,0.839999974
45:31.0,3/21/2022,7.2833015,5.187015,1.059999943,2.150000095,1.5,143.9400024,10.60000038,0.349999994,2,0.300000012,0.400000006,1.059999943,2.150000095,8.979999542,152.8899994,1.210000038,2.150000095
45:33.0,3/21/2022,7.2831685,5.1873405,0.779999971,2.109999895,5.349999905,153.4900055,3.599999905,0.109999999,2,0.300000012,0.100000001,1.049999952,2.390000105,7.28000021,156.9400024,0.689999998,2.599999905
