Unnamed: 0,Time,Latitude,Longitude,Call Established/Calldrop,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1
0,2741.0,7.302863,5.1493585,1,-79.69999695,-15.69999981,-63.90000153
1,2826.5,7.301352168,5.15154979,0,0.0,0.0,0.0
2,3225.0,7.287465,5.165219,1,-69.19999695,-8.699999809,-60.79999924
3,3307.0,7.2861335,5.1685695,0,-68.0,3.299999952,0.0
4,3941.0,7.281025,5.191569,1,-73.09999847,-10.69999981,-60.40000153
5,4417.0,7.2813785,5.2132775,1,-58.90000153,-9.5,-48.29999924
6,4853.0,7.27673225,5.2377355,1,-87.69999695,-13.19999981,-74.30000305
7,5357.0,7.2740315,5.253835,1,-67.0,-5.5,-60.90000153
8,5831.0,7.2759825,5.2825165,1,-99.0,-14.89999962,-83.69999695
9,431.0,7.2613235,5.2677755,1,-82.09999847,-14.0,-67.90000153
10,909.0,7.2603685,5.2238885,1,-82.19999695,-19.5,-62.0
11,953.9,7.2563117,5.220052548,0,0.0,0.0,0.0
12,1347.0,7.2462715,5.2209135,1,-80.19999695,-11.69999981,-67.0
13,1739.0,7.25132875,5.2051395,0,-67.0,0.0,0.0
14,1823.0,7.2517175,5.2033925,1,-63.0,-12.0,-50.70000076
15,2257.0,7.251216,5.193949,1,-68.40000153,-14.0,-53.79999924
16,2735.0,7.250386,5.166154,1,-60.40000153,-12.60000038,-47.79999924
17,3209.7,7.263557,5.16017,1,0.0,0.0,0.0
18,3651.0,7.2629765,5.164281,1,-81.30000305,-15.69999981,-63.5
19,3757.0,7.2606025,5.1681385,0,-56.29999924,0.800000012,0.0
20,4129.0,7.2633785,5.169366,1,-78.40000153,-16.20000076,-61.09999847
21,4231.0,7.2619405,5.166865,0,-71.5,3.0,0.0
22,4607.0,7.272731,5.159198,1,-83.40000153,-21.60000038,-61.90000153
23,5045.0,7.279559,5.1521925,1,-64.09999847,-7.199999809,-55.59999847
24,5523.0,7.2907575,5.152653,1,-56.0,-7.199999809,-48.5
25,5705.0,7.2938945,5.1495865,0,-72.40000153,1.899999976,0.0
26,1.0,7.2974115,5.14235,1,-89.09999847,-14.80000019,-72.90000153
27,357.0,7.3007725,5.131589,1,-70.59999847,-14.89999962,-55.70000076
28,845.0,7.302011,5.1398175,1,-72.0,-15.19999981,-56.79999924
29,827.0,7.2925745,5.1514055,1,-72.80000305,-15.19999981,-57.09999847
30,1303.0,7.280299,5.152209,1,-55.0,-4.300000191,-50.79999924
31,1741.0,7.273088,5.1583575,1,-82.09999847,-10.89999962,-70.5
32,2229.0,7.264242,5.162627,1,-79.40000153,-13.80000019,-66.19999695
33,2705.0,7.2502865,5.167783,1,-71.59999847,-11.69999981,-59.0
34,3139.0,7.2508395,5.196839,1,-69.09999847,-11.10000038,-57.40000153
35,3617.0,7.2374765,5.213781,1,-53.59999847,4.400000095,0.0
36,4053.0,7.244868,5.2234765,1,-85.69999695,-17.79999924,-67.40000153
37,4527.0,7.263029,5.23826,1,-93.09999847,-11.19999981,-80.80000305
38,5011.0,7.270299,5.28248,1,-73.90000153,-11.89999962,-64.80000305
39,5445.0,7.2757065,5.281684,1,-99.5,-17.89999962,-81.59999847
40,5927.0,7.276299,5.24504,1,-67.80000305,-7.0,-65.30000305
41,439.0,7.281309,5.220789,1,-77.30000305,-13.69999981,-63.59999847
42,915.0,7.28123,5.19113,1,-73.59999847,-12.0,-61.09999847
43,1353.0,7.2854615,5.1723175,1,-75.0,3.0,0.0
44,1641.0,7.2908365,5.1607575,0,-71.59999847,0.0,0.0
45,1833.0,7.300419,5.152618,1,-73.5,-10.0,-62.40000153
46,2315.0,7.30654,5.139601,1,-73.59999847,-15.19999981,-58.09999847
47,2809.0,7.2949715,5.1316385,1,-93.5,-11.19999981,-80.30000305
48,3531.0,7.29648,5.1447715,1,-77.90000153,-6.099999905,-72.0
49,4117.0,7.2919845,5.151607,1,-63.5,-13.10000038,-52.70000076
50,4537.0,7.282169,5.153195,1,-68.09999847,-13.80000019,-54.29999924
51,4955.0,7.2735925,5.15672,1,-86.80000305,-16.89999962,-70.0
52,5415.0,7.2638815,5.162908,1,-69.09999847,0.0,0.0
53,5837.0,7.2516395,5.1754335,1,-78.09999847,-15.60000038,-62.79999924
54,301.0,7.249339,5.1996075,1,-67.5,4.0,0.0
55,745.0,7.2354945,5.2186985,1,-69.5,-10.5,-58.90000153
56,1205.0,7.2475035,5.2231525,1,-69.80000305,-8.100000381,-61.59999847
57,1629.0,7.262074,5.2432275,1,-65.59999847,3.0,0.0
58,2047.0,7.264344,5.276219,1,-68.5,-10.5,-57.59999847
59,2503.0,7.276777,5.286103,1,-86.09999847,-5.599999905,-80.59999847
60,2923.0,7.2753265,5.250523,1,-71.30000305,-10.10000038,-60.90000153
61,3341.0,7.2767075,5.237558,1,-99.80000305,-20.60000038,-78.5
62,3831.0,7.2807045,5.2081905,1,-84.69999695,-20.0,-64.40000153
63,4249.0,7.282848,5.1879845,1,-67.30000305,-14.5,-52.79999924
64,4445.0,7.2852085,5.174933,1,-74.69999695,3.799999952,0.0
65,4907.0,7.3006225,5.152411,1,-65.40000153,3.5,0.0
66,5325.0,7.3063365,5.1392215,1,-64.40000153,-10.39999962,-52.29999924
67,5743.0,7.295069,5.131155,1,-75.40000153,3.0,0.0
68,217.0,7.295145,5.14958,1,-61.09999847,-12.60000038,-48.5
69,647.0,7.3009825,5.141058,1,-79.40000153,5.900000095,0.0
70,4813.0,7.2973475,5.135215,1,-72.30000305,3.0,0.0
71,4933.0,7.3015125,5.1362875,1,-74.19999695,-6.900000095,-65.90000153
72,5053.0,7.304550833,5.139077167,1,-70.0,-12.30000019,-57.5
73,5215.0,7.30697,5.139825,1,-62.29999924,4.099999905,0.0
74,5335.0,7.3053565,5.143816,1,-67.0,-12.80000019,-54.5
75,5459.0,7.3031625,5.148823,1,-80.30000305,3.700000048,0.0
76,5621.0,7.3003,5.1527075,1,-68.69999695,3.200000048,0.0
77,5743.0,7.291872752,5.159862572,1,0.0,0.0,0.0
78,5911.0,7.2861015,5.1686175,1,-74.69999695,3.0,0.0
79,37.0,7.284834,5.178528,1,-73.59999847,2.700000048,0.0
80,201.0,7.2826425,5.1884805,1,-60.29999924,-11.19999981,-49.0
81,327.0,7.2814005,5.190765,1,-74.59999847,-13.60000038,-60.59999847
