Unnamed: 0,Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector),Ping Delay (ms)
,26:45.0,3/21/2022,,,0,0,0.25,4.139999866,3,3,2.099999905,0,3,,,0.560000002,16.10000038,0.059999999,0,
,27:25.0,3/21/2022,,,0,0.280000001,0.230000004,11.28999996,3.5,3.5,2,0,3.5,,0.560000002,1.389999986,17.28000069,0.039999999,0.400000006,
,28:05.0,3/21/2022,,,0,0,0.079999998,1.179999948,3,3,2,0,3,,,0.439999998,11.18000031,0,0,
,28:41.0,3/21/2022,,,0,0,0.25999999,9.050000191,4,4,4.300000191,0,4,,,2.900000095,16.03000069,0.079999998,0,
,29:23.0,3/21/2022,,,0,0,0.079999998,3.619999886,3,3,2,0,3,,,0.039999999,7.010000229,0,0,
,30:01.0,3/21/2022,,,0,0,0.079999998,1.299999952,3,3,6.699999809,0,3,,,0.029999999,5.949999809,0,0.200000003,
,30:41.0,3/21/2022,,,0,0,0.079999998,3.380000114,14,14,2,0,14,,,3.5,33.95999908,0,0,
,36:07.0,3/21/2022,7.306894242,5.139810758,1.460000038,3.25,12.60000038,183.2299957,4,0.389999986,2,0.400000006,0.200000003,1.460000038,2.849999905,22.70000076,186.0599976,1.429999948,2.829999924,
,36:09.0,3/21/2022,7.306894121,5.139810879,0.779999971,1.950000048,6.039999962,184.3800049,7.599999905,0.730000019,2,0.400000006,0.400000006,0.779999971,2.160000086,12.27999973,187.8300018,0.689999998,1.75999999,
,36:11.0,3/21/2022,7.306894,5.139811,0.389999986,1.700000048,5.659999847,186.6300049,6.300000191,0.300000012,2.099999905,0.400000006,0.100000001,0.779999971,1.809999943,5.989999771,190.6799927,0.670000017,2.140000105,
