,Time,Date,Latitude,Longitude,Call Established/Calldrop,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1
0,27:41.0,2/18/2022,7.302863,5.1493585,Call Established,-79.69999695,-15.69999981,-63.90000153
1,28:26.5,2/18/2022,7.301352168,5.15154979,Dropped Call,0.0,0.0,0.0
2,32:25.0,2/18/2022,7.287465,5.165219,Call Established,-69.19999695,-8.699999809,-60.79999924
3,33:07.0,2/18/2022,7.2861335,5.1685695,Dropped Call,-68.0,3.299999952,0.0
4,39:41.0,2/18/2022,7.281025,5.191569,Call Established,-73.09999847,-10.69999981,-60.40000153
5,44:17.0,2/18/2022,7.2813785,5.2132775,Call Established,-58.90000153,-9.5,-48.29999924
6,48:53.0,2/18/2022,7.27673225,5.2377355,Call Established,-87.69999695,-13.19999981,-74.30000305
7,53:57.0,2/18/2022,7.2740315,5.253835,Call Established,-67.0,-5.5,-60.90000153
8,58:31.0,2/18/2022,7.2759825,5.2825165,Call Established,-99.0,-14.89999962,-83.69999695
9,04:31.0,2/18/2022,7.2613235,5.2677755,Call Established,-82.09999847,-14.0,-67.90000153
10,09:09.0,2/18/2022,7.2603685,5.2238885,Call Established,-82.19999695,-19.5,-62.0
11,09:53.9,2/18/2022,7.2563117,5.220052548,Dropped Call,0.0,0.0,0.0
12,13:47.0,2/18/2022,7.2462715,5.2209135,Call Established,-80.19999695,-11.69999981,-67.0
13,17:39.0,2/18/2022,7.25132875,5.2051395,Dropped Call,-67.0,0.0,0.0
14,18:23.0,2/18/2022,7.2517175,5.2033925,Call Established,-63.0,-12.0,-50.70000076
15,22:57.0,2/18/2022,7.251216,5.193949,Call Established,-68.40000153,-14.0,-53.79999924
16,27:35.0,2/18/2022,7.250386,5.166154,Call Established,-60.40000153,-12.60000038,-47.79999924
17,32:09.7,2/18/2022,7.263557,5.16017,Call Established,0.0,0.0,0.0
18,36:51.0,2/18/2022,7.2629765,5.164281,Call Established,-81.30000305,-15.69999981,-63.5
19,37:57.0,2/18/2022,7.2606025,5.1681385,Dropped Call,-56.29999924,0.800000012,0.0
20,41:29.0,2/18/2022,7.2633785,5.169366,Call Established,-78.40000153,-16.20000076,-61.09999847
21,42:31.0,2/18/2022,7.2619405,5.166865,Dropped Call,-71.5,3.0,0.0
22,46:07.0,2/18/2022,7.272731,5.159198,Call Established,-83.40000153,-21.60000038,-61.90000153
23,50:45.0,2/18/2022,7.279559,5.1521925,Call Established,-64.09999847,-7.199999809,-55.59999847
24,55:23.0,2/18/2022,7.2907575,5.152653,Call Established,-56.0,-7.199999809,-48.5
25,57:05.0,2/18/2022,7.2938945,5.1495865,Dropped Call,-72.40000153,1.899999976,0.0
26,00:01.0,2/18/2022,7.2974115,5.14235,Call Established,-89.09999847,-14.80000019,-72.90000153
27,03:57.0,2/18/2022,7.3007725,5.131589,Call Established,-70.59999847,-14.89999962,-55.70000076
28,08:45.0,2/18/2022,7.302011,5.1398175,Call Established,-72.0,-15.19999981,-56.79999924
29,08:27.0,2/20/2022,7.2925745,5.1514055,Call Established,-72.80000305,-15.19999981,-57.09999847
30,13:03.0,2/20/2022,7.280299,5.152209,Call Established,-55.0,-4.300000191,-50.79999924
31,17:41.0,2/20/2022,7.273088,5.1583575,Call Established,-82.09999847,-10.89999962,-70.5
32,22:29.0,2/20/2022,7.264242,5.162627,Call Established,-79.40000153,-13.80000019,-66.19999695
33,27:05.0,2/20/2022,7.2502865,5.167783,Call Established,-71.59999847,-11.69999981,-59.0
34,31:39.0,2/20/2022,7.2508395,5.196839,Call Established,-69.09999847,-11.10000038,-57.40000153
35,36:17.0,2/20/2022,7.2374765,5.213781,Call Established,-53.59999847,4.400000095,0.0
36,40:53.0,2/20/2022,7.244868,5.2234765,Call Established,-85.69999695,-17.79999924,-67.40000153
37,45:27.0,2/20/2022,7.263029,5.23826,Call Established,-93.09999847,-11.19999981,-80.80000305
38,50:11.0,2/20/2022,7.270299,5.28248,Call Established,-73.90000153,-11.89999962,-64.80000305
39,54:45.0,2/20/2022,7.2757065,5.281684,Call Established,-99.5,-17.89999962,-81.59999847
40,59:27.0,2/20/2022,7.276299,5.24504,Call Established,-67.80000305,-7.0,-65.30000305
41,04:39.0,2/20/2022,7.281309,5.220789,Call Established,-77.30000305,-13.69999981,-63.59999847
42,09:15.0,2/20/2022,7.28123,5.19113,Call Established,-73.59999847,-12.0,-61.09999847
43,13:53.0,2/20/2022,7.2854615,5.1723175,Call Established,-75.0,3.0,0.0
44,16:41.0,2/20/2022,7.2908365,5.1607575,Dropped Call,-71.59999847,0.0,0.0
45,18:33.0,2/20/2022,7.300419,5.152618,Call Established,-73.5,-10.0,-62.40000153
46,23:15.0,2/20/2022,7.30654,5.139601,Call Established,-73.59999847,-15.19999981,-58.09999847
47,28:09.0,2/20/2022,7.2949715,5.1316385,Call Established,-93.5,-11.19999981,-80.30000305
48,35:31.0,2/20/2022,7.29648,5.1447715,Call Established,-77.90000153,-6.099999905,-72.0
49,41:17.0,2/21/2022,7.2919845,5.151607,Call Established,-63.5,-13.10000038,-52.70000076
50,45:37.0,2/21/2022,7.282169,5.153195,Call Established,-68.09999847,-13.80000019,-54.29999924
51,49:55.0,2/21/2022,7.2735925,5.15672,Call Established,-86.80000305,-16.89999962,-70.0
52,54:15.0,2/21/2022,7.2638815,5.162908,Call Established,-69.09999847,0.0,0.0
53,58:37.0,2/21/2022,7.2516395,5.1754335,Call Established,-78.09999847,-15.60000038,-62.79999924
54,03:01.0,2/21/2022,7.249339,5.1996075,Call Established,-67.5,4.0,0.0
55,07:45.0,2/21/2022,7.2354945,5.2186985,Call Established,-69.5,-10.5,-58.90000153
56,12:05.0,2/21/2022,7.2475035,5.2231525,Call Established,-69.80000305,-8.100000381,-61.59999847
57,16:29.0,2/21/2022,7.262074,5.2432275,Call Established,-65.59999847,3.0,0.0
58,20:47.0,2/21/2022,7.264344,5.276219,Call Established,-68.5,-10.5,-57.59999847
59,25:03.0,2/21/2022,7.276777,5.286103,Call Established,-86.09999847,-5.599999905,-80.59999847
60,29:23.0,2/21/2022,7.2753265,5.250523,Call Established,-71.30000305,-10.10000038,-60.90000153
