UniqueID,Date,Time of the Day,Day of week,Latitude,Longitude,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1,Call Established
132,2/18/2022,Morning,Friday,7.301352168,5.15154979,0,0,0,0
237,2/18/2022,Morning,Friday,7.2861335,5.1685695,-68,3.299999952,0,0
1167,2/18/2022,Morning,Friday,7.2563117,5.220052548,0,0,0,0
1380,2/18/2022,Morning,Friday,7.25132875,5.2051395,-67,0,0,0
1740,2/18/2022,Evening,Friday,7.263557,5.16017,0,0,0,1
1898,2/18/2022,Evening,Friday,7.2606025,5.1681385,-56.29999924,0.800000012,0,0
2007,2/18/2022,Morning,Friday,7.2619405,5.166865,-71.5,3,0,0
2400,2/18/2022,Evening,Friday,7.2938945,5.1495865,-72.40000153,1.899999976,0,0
3739,2/20/2022,Evening,Sunday,7.2374765,5.213781,-53.59999847,4.400000095,0,1
4912,2/20/2022,Morning,Sunday,7.2854615,5.1723175,-75,3,0,1
4999,2/20/2022,Morning,Sunday,7.2908365,5.1607575,-71.59999847,0,0,0
6172,2/21/2022,Morning,Monday,7.2638815,5.162908,-69.09999847,0,0,1
6446,2/21/2022,Evening,Monday,7.249339,5.1996075,-67.5,4,0,1
6857,2/21/2022,Evening,Monday,7.262074,5.2432275,-65.59999847,3,0,1
7740,2/21/2022,Morning,Monday,7.2852085,5.174933,-74.69999695,3.799999952,0,1
7872,2/21/2022,Morning,Monday,7.3006225,5.152411,-65.40000153,3.5,0,1
8135,2/21/2022,Morning,Monday,7.295069,5.131155,-75.40000153,3,0,1
8412,2/21/2022,Morning,Monday,7.3009825,5.141058,-79.40000153,5.900000095,0,1
8516,2/22/2022,Morning,Tuesday,7.2973475,5.135215,-72.30000305,3,0,1
8649,2/22/2022,Morning,Tuesday,7.30697,5.139825,-62.29999924,4.099999905,0,1
8738,2/22/2022,Evening,Tuesday,7.3031625,5.148823,-80.30000305,3.700000048,0,1
8783,2/22/2022,Evening,Tuesday,7.3003,5.1527075,-68.69999695,3.200000048,0,1
8829,2/22/2022,Evening,Tuesday,7.291872752,5.159862572,0,0,0,1
8876,2/22/2022,Evening,Tuesday,7.2861015,5.1686175,-74.69999695,3,0,1
8924,2/22/2022,Evening,Tuesday,7.284834,5.178528,-73.59999847,2.700000048,0,1
9065,2/22/2022,Evening,Tuesday,7.27972,5.196155,-73,4,0,1
9110,2/22/2022,Evening,Tuesday,7.2808425,5.2092325,-67.5,3,0,1
9155,2/22/2022,Evening,Tuesday,7.281557,5.2145735,-72.19999695,3,0,1
9209,2/22/2022,Evening,Tuesday,7.2807035,5.222569,-62.5,3,0,1
9254,2/22/2022,Evening,Tuesday,7.27831128,5.226852556,0,0,0,1
9300,2/22/2022,Morning,Tuesday,7.2767345,5.237955,-84.5,3.299999952,0,1
9500,2/22/2022,Evening,Tuesday,7.276566,5.2848025,-89.69999695,3,0,1
9837,2/22/2022,Evening,Tuesday,7.2546225,5.218257,-49.79999924,3,0,1
9933,2/22/2022,Morning,Tuesday,7.2460985,5.2215465,-49.70000076,3.799999952,0,1
10028,2/22/2022,Morning,Tuesday,7.2401285,5.21363,-63.09999847,3.400000095,0,1
10121,2/22/2022,Morning,Tuesday,7.2494865,5.2054465,-72,4.199999809,0,1
10218,2/22/2022,Morning,Tuesday,7.2529565,5.196701,-73.40000153,3.200000048,0,1
10312,2/22/2022,Morning,Tuesday,7.254541,5.1929395,-66.69999695,0,0,1
10502,2/22/2022,Morning,Tuesday,7.2630235,5.1640985,-80.69999695,3,0,1
10595,2/22/2022,Morning,Tuesday,7.263547,5.160197,-74.69999695,3.799999952,0,1
10760,2/22/2022,Morning,Tuesday,7.269746,5.1616165,-66.5,3,0,1
10946,2/22/2022,Morning,Tuesday,7.278995,5.1529685,-77.40000153,3.200000048,0,1
11136,2/22/2022,Morning,Tuesday,7.2928165,5.1510415,-70.40000153,3.5,0,1
11232,2/22/2022,Morning,Tuesday,7.2983265,5.145406,-65.80000305,3.799999952,0,1
11326,2/22/2022,Evening,Tuesday,7.3064365,5.1389535,-52.70000076,3.700000048,0,1
11419,2/22/2022,Evening,Tuesday,7.300885,5.1315635,-70.69999695,3,0,1
11512,2/22/2022,Evening,Tuesday,7.2973235,5.134835,-72,2.599999905,0,1
11638,2/23/2022,Evening,Wednesday,7.3033035,5.1368665,-61.59999847,3.799999952,0,1
11768,2/23/2022,Evening,Wednesday,7.304209667,5.132827833,-70.30000305,3.299999952,0,1
11895,2/23/2022,Evening,Wednesday,7.2957035,5.138185,-63,3.700000048,0,1
12297,2/23/2022,Evening,Wednesday,7.2735715,5.156275,-79.90000153,3.799999952,0,1
12426,2/23/2022,Evening,Wednesday,7.264413,5.1627325,-68.19999695,3,0,1
12685,2/23/2022,Evening,Wednesday,7.251234,5.194594,-49.59999847,3,0,1
12812,2/23/2022,Evening,Wednesday,7.2388235,5.2120425,-70.5,4.400000095,0,1
12826,2/23/2022,Evening,Wednesday,7.237348,5.2140125,-71.59999847,1.399999976,0,0
13204,2/23/2022,Morning,Wednesday,7.261525,5.2686375,-69.09999847,3,0,1
13459,2/23/2022,Morning,Wednesday,7.2707365,5.2669775,-86.90000153,2.799999952,0,1
13852,2/23/2022,Morning,Wednesday,7.279641,5.1968065,-62.59999847,3,0,1
14115,2/23/2022,Morning,Wednesday,7.286135,5.168445,-80.5,4.800000191,0,1
14257,2/23/2022,Morning,Wednesday,7.3028485,5.149406,-72.59999847,2.599999905,0,1
14457,2/23/2022,Morning,Wednesday,7.3147055,5.122554,-87.5,3.799999952,0,1
14788,2/23/2022,Evening,Wednesday,7.362015,5.104694,-72.90000153,0,0,0
14957,2/24/2022,Evening,Thursday,7.297185,5.134595,-64.09999847,3,0,1
15081,2/24/2022,Evening,Thursday,7.297425,5.135514,-76.40000153,1.899999976,0,1
15210,2/24/2022,Evening,Thursday,7.3017625,5.1315675,-73.80000305,3.299999952,0,1
15333,2/24/2022,Evening,Thursday,7.2979885,5.142982,-90.19999695,2.599999905,0,1
15464,2/24/2022,Evening,Thursday,7.295064583,5.149586833,-69.09999847,3.5,0,1
15591,2/24/2022,Evening,Thursday,7.300275,5.14476,-77,2.599999905,0,1
15716,2/24/2022,Morning,Thursday,7.300273,5.144768,-62.5,3,0,1
15968,2/24/2022,Morning,Thursday,7.302845,5.1412395,-75,0,0,1
